constraint_id,module_name,constraint_type,input_signals,output_signals,mathematical_expression,r1cs_constraints,qap_degree,signal_count,verification_result,resource_estimate,test_case_ids,notes,timestamp,version,contributor
"CONST-0001","ForwardPropagation","MatrixMultiplication","in(784),w1(784x128)","l1_out(128)","l1_out[j] = sum_{i=0}^{783} (in[i] * w1[i][j])",6272,2,912,"PASS","RAM: 128MB, GPU: 2.1ms","TEST-ZK-001,TEST-ZK-005","Input layer to hidden layer",2023-12-15T09:23:45Z,1.2.0,"alice@umazen.ai"
"CONST-0002","ForwardPropagation","ActivationFunction","l1_out(128)","a1_out(128)","a1_out[i] = ReLU(l1_out[i])",128,1,256,"PASS","RAM: 16MB, GPU: 0.4ms","TEST-ZK-002","ReLU activation",2023-12-15T09:25:12Z,1.2.0,"bob@umazen.ai"
"CONST-0003","BackwardPropagation","GradientCalculation","da1(128),w2(128x10)","dw2(128x10)","dw2[i][j] = da1[i] * a1_out[i]",1280,2,1408,"PASS","RAM: 64MB, GPU: 1.8ms","TEST-ZK-003","Weight gradient computation",2023-12-15T09:27:33Z,1.2.0,"charlie@umazen.ai"
"CONST-0004","HashVerification","PoseidonHash","model_weights(920)","model_hash(1)","model_hash = Poseidon2(model_weights)",18,3,921,"PASS","RAM: 32MB, GPU: 4.2ms","TEST-ZK-004","Model integrity hash",2023-12-15T09:30:01Z,1.2.0,"dave@umazen.ai"
"CONST-0005","Arithmetic","RangeProof","learning_rate","-","0 ≤ lr ≤ 0.1",2,1,3,"PASS","RAM: 2MB, GPU: 0.1ms","TEST-ZK-006","Learning rate boundary check",2023-12-15T09:31:22Z,1.2.0,"eve@umazen.ai"
"CONST-0006","LossCalculation","MSEComputation","pred(10),label(10)","loss(1)","loss = 1/10 * sum_{i=0}^9 (pred[i] - label[i])^2",10,2,21,"PASS","RAM: 8MB, GPU: 0.6ms","TEST-ZK-007","Mean squared error",2023-12-15T09:33:15Z,1.2.0,"alice@umazen.ai"
"CONST-0007","UpdateRule","WeightUpdate","w(128x10),dw(128x10),lr","w_new(128x10)","w_new[i][j] = w[i][j] - lr * dw[i][j]",1280,1,2561,"PASS","RAM: 48MB, GPU: 1.2ms","TEST-ZK-008","SGD parameter update",2023-12-15T09:35:44Z,1.2.0,"bob@umazen.ai"
"CONST-0008","Regularization","L2Penalty","w(920)","reg_loss(1)","reg_loss = 0.001 * sum_{i=0}^{919} w[i]^2",920,2,921,"PASS","RAM: 24MB, GPU: 3.1ms","TEST-ZK-009","L2 regularization term",2023-12-15T09:37:29Z,1.2.0,"charlie@umazen.ai"
"CONST-0009","DataIntegrity","InputNormCheck","input(784)","-","sum(input) < 1000",1,1,785,"PASS","RAM: 4MB, GPU: 0.2ms","TEST-ZK-010","Input normalization check",2023-12-15T09:39:51Z,1.2.0,"dave@umazen.ai"
"CONST-0010","CircuitSafety","OverflowGuard","a(64),b(64)","sum(64)","sum = a + b (64-bit safe)",3,2,129,"PASS","RAM: 6MB, GPU: 0.3ms","TEST-ZK-011","Arithmetic overflow protection",2023-12-15T09:41:37Z,1.2.0,"eve@umazen.ai"
